run_date,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,f1_CANDIDATE,f1_CONFIRMED,f1_FALSE POSITIVE,feature_set,evaluation,f1_macro_mean,f1_macro_std,fold0,fold1,fold2,fold3,fold4
2026-08-24,"flag_rule (any flag -> FP, else CONFIRMED)",0.7550290567724631,0.6590842108083487,0.5550260090098348,0.6733454126350693,0.0,0.6742925948223961,0.9907854322071084,legacy_2020,2020 split,,,,,,,
2026-08-24,logistic_regression,0.8323647742512293,0.77263108840017,0.7728931541388325,0.829806373889255,0.6278118609406953,0.7000821692686935,0.9907854322071084,legacy_2020,2020 split,,,,,,,
2026-08-24,gradient_boosting,0.902101028162718,0.8690510595779871,0.8705515887988992,0.901496568516811,0.8045325779036827,0.8172231985940246,0.98989898989899,legacy_2020,2020 split,,,,,,,
2026-08-24,balanced_random_forest,0.8994188645507376,0.8652250607887958,0.8670070070680008,0.8986589997564766,0.7988721804511278,0.8131089459698848,0.9890398947829899,legacy_2020,2020 split,,,,,,,
2026-08-24,logistic_regression,0.813589628967367,0.7471603045024201,0.7467672444271697,0.8105382548164218,0.5823045267489712,0.6672117743254292,0.9907854322071084,with_flags,2020 split,,,,,,,
2026-08-24,gradient_boosting,0.8945015645954403,0.8585637316749288,0.8601292523255898,0.8937992548539719,0.7870105062082139,0.8034782608695652,0.98989898989899,with_flags,2020 split,,,,,,,
2026-08-24,balanced_random_forest,0.8953956191327671,0.8607637035571946,0.8616973317040008,0.894854682739198,0.7955596669750231,0.7996422182468694,0.9898901098901098,with_flags,2020 split,,,,,,,
2026-08-24,logistic_regression,0.6383549396513187,0.562399619838597,0.5409538843598938,0.6074331741390927,0.248,0.5877862595419847,0.7870753935376967,physics_only,2020 split,,,,,,,
2026-08-24,gradient_boosting,0.7527939204291462,0.7169928203442346,0.7173279155828368,0.7494884558408325,0.5530227948463825,0.764102564102564,0.8348583877995642,physics_only,2020 split,,,,,,,
2026-08-24,balanced_random_forest,0.7291014751899866,0.7205638328265217,0.7088157280309323,0.7360161719671203,0.5612848689771767,0.7575250836120402,0.8076372315035799,physics_only,2020 split,,,,,,,
2026-08-24,logistic_regression,,,,,,,,legacy_2020,5-fold CV,0.7677593482686569,0.013587963665055285,0.778486208391354,0.7870800931348373,0.752045230570023,0.7540676851396616,0.7671175241074089
2026-08-24,gradient_boosting,,,,,,,,legacy_2020,5-fold CV,0.8656280973260797,0.00869025490340185,0.8672173525208668,0.8814665550163897,0.855943758375545,0.8612800509910276,0.8622327697265691
2026-08-24,balanced_random_forest,,,,,,,,legacy_2020,5-fold CV,0.8667474568231676,0.0048356445898157805,0.8697405565621815,0.8719439872143715,0.8593160776772839,0.8628016907159969,0.8699349719460039
2026-08-24,logistic_regression,,,,,,,,with_flags,5-fold CV,0.7412577647650103,0.01564450370688538,0.7626586678005293,0.7572128169210526,0.7327227724920585,0.7234546371217694,0.7302399294896414
2026-08-24,gradient_boosting,,,,,,,,with_flags,5-fold CV,0.8609377645573119,0.006771381234269909,0.8668233463502402,0.8691691856315952,0.8498891268552645,0.8592013127343474,0.8596058512151119
2026-08-24,balanced_random_forest,,,,,,,,with_flags,5-fold CV,0.8598544749398116,0.007397854299128816,0.8669451205761395,0.8650082591895042,0.8459111708558346,0.8613908174088541,0.860017006668726
2026-08-24,logistic_regression,,,,,,,,physics_only,5-fold CV,0.5273226946592107,0.005521818887867592,0.5265424966297895,0.5204533547311058,0.5227535410620251,0.5312953955327719,0.5355686853403611
2026-08-24,gradient_boosting,,,,,,,,physics_only,5-fold CV,0.7148888606834835,0.014633011493350249,0.6918187116759641,0.7221811278064774,0.7059080073167516,0.7342704771973155,0.7202659794209089
2026-08-24,balanced_random_forest,,,,,,,,physics_only,5-fold CV,0.7153921200903658,0.0026726240967444234,0.7110739058522767,0.7181568928880756,0.7149651940897446,0.7144743649265185,0.7182902426952134
