kepoi_name,kepler_name,change,koi_period,koi_prad,koi_insol,koi_steff,koi_tce_delivname,p_planet_2020
K05431.01,,FALSE POSITIVE → CANDIDATE,43.08410127,,,,q1_q16_tce,0.29018146569995784
K05434.01,,FALSE POSITIVE → CANDIDATE,581.87357,2.96,0.53,5897.0,q1_q16_tce,0.42516391808299936
K05437.01,,FALSE POSITIVE → CANDIDATE,213.63312404,,,,q1_q16_tce,0.1970830788998464
K05690.01,,FALSE POSITIVE → CANDIDATE,17.0497376,45.89,3566.8,5039.0,q1_q16_tce,0.30552390790833167
K05441.01,,CANDIDATE → FALSE POSITIVE,25.4805211,1.25,44.67,6250.0,q1_q17_dr25_tce,0.5456700447384674
K05446.01,,FALSE POSITIVE → CANDIDATE,416.9504,7.35,4.77,5751.0,q1_q16_tce,0.5353776076838427
K05698.01,,FALSE POSITIVE → CANDIDATE,282.029084,2.33,4.12,6886.0,q1_q16_tce,0.4396960584577365
K05449.01,,CANDIDATE → FALSE POSITIVE,0.762724045,41.02,2827.5,5313.0,q1_q17_dr25_tce,0.08237363769184734
K05580.01,,FALSE POSITIVE → CANDIDATE,173.219879,2.41,6.39,6007.0,q1_q16_tce,0.22266362607652024
K05708.01,,CANDIDATE → FALSE POSITIVE,7.863361238,22.7,294.86,5615.0,q1_q17_dr25_tce,0.24580681548165303
K05821.01,,FALSE POSITIVE → CANDIDATE,113.71363032,,,,q1_q16_tce,0.2332068034442072
K05455.01,,FALSE POSITIVE → CANDIDATE,292.09809,2.09,1.2,5955.0,q1_q16_tce,0.30528113391871414
K05457.01,,FALSE POSITIVE → CANDIDATE,578.21623,3.54,2.74,5166.0,q1_q16_tce,0.29740880499875577
K05588.01,,FALSE POSITIVE → CANDIDATE,542.91133,2.27,0.37,5583.0,q1_q16_tce,0.161054067795766
K05715.01,,FALSE POSITIVE → CANDIDATE,189.961729,1.93,1.08,5335.0,q1_q16_tce,0.6374847472712069
K05836.01,,FALSE POSITIVE → CANDIDATE,202.18722766,,,,q1_q16_tce,0.18726196461347785
K05467.01,,FALSE POSITIVE → CANDIDATE,502.8356901,,,,q1_q16_tce,0.26281696257325926
K05468.01,,FALSE POSITIVE → CANDIDATE,81.704814,1.65,9.04,6099.0,q1_q16_tce,0.47922153005494134
K05470.01,,FALSE POSITIVE → CANDIDATE,578.21805,2.44,0.59,6089.0,q1_q16_tce,0.25273164532358977
K05719.01,,FALSE POSITIVE → CANDIDATE,27.285315,2.19,49.97,6304.0,q1_q17_dr25_tce,0.8629271028870513
K05473.01,,FALSE POSITIVE → CANDIDATE,549.42772,2.64,0.58,5957.0,q1_q16_tce,0.3158277612638627
K05474.01,,FALSE POSITIVE → CANDIDATE,284.666844,8.98,13.14,5248.0,q1_q16_tce,0.23709615624083177
K05598.01,,FALSE POSITIVE → CANDIDATE,376.934014,2.13,1.33,6074.0,q1_q16_tce,0.40490735675288547
K05602.01,,FALSE POSITIVE → CANDIDATE,403.163148,2.49,0.79,5812.0,q1_q17_dr25_tce,0.5100214545920903
K05725.01,,FALSE POSITIVE → CANDIDATE,351.25069,2.23,0.28,4828.0,q1_q16_tce,0.33782117993640715
K05352.01,,FALSE POSITIVE → CANDIDATE,270.1430241,,,,q1_q16_tce,0.3625835457932485
K05353.01,,CANDIDATE → FALSE POSITIVE,0.812592362,25.84,16928.43,7117.0,q1_q17_dr25_tce,0.18138694404772224
K05609.01,,FALSE POSITIVE → CANDIDATE,535.1515,2.7,1.04,5468.0,q1_q16_tce,0.5850182828745081
K05610.01,,FALSE POSITIVE → CANDIDATE,495.40462,152.21,0.9,6225.0,q1_q16_tce,0.4495557644433058
K05361.01,,CANDIDATE → FALSE POSITIVE,22.0495604,1.9,163.51,6821.0,q1_q17_dr25_tce,0.8324188346569912
K05365.01,,FALSE POSITIVE → CANDIDATE,585.64118,2.2,0.43,5779.0,q1_q16_tce,0.2674671963188764
K05367.01,,FALSE POSITIVE → CANDIDATE,502.98283916,,,,q1_q16_tce,0.12145763514760605
K05616.01,,FALSE POSITIVE → CANDIDATE,441.61919,1.71,0.12,4351.0,q1_q16_tce,0.6348765534112354
K05618.01,,FALSE POSITIVE → CANDIDATE,318.49078,3.01,1.94,6026.0,q1_q16_tce,0.5117982433045992
K05741.01,,FALSE POSITIVE → CANDIDATE,362.0619,2.12,0.41,5271.0,q1_q16_tce,0.17141679951165575
K05745.01,,FALSE POSITIVE → CANDIDATE,11.374442708,22.86,52.84,5297.0,q1_q17_dr25_tce,0.048559873850484006
K05371.01,,FALSE POSITIVE → CANDIDATE,33.3037881,1.14,7.53,4899.0,q1_q17_dr25_tce,0.9057142683699646
K05752.01,,CANDIDATE → FALSE POSITIVE,1.391716834,36.19,1150147.99,3749.0,q1_q17_dr25_tce,0.33692630757436487
K05755.01,,FALSE POSITIVE → CANDIDATE,388.67155,1.49,0.46,5354.0,q1_q16_tce,0.4204670994097119
K05635.01,,FALSE POSITIVE → CANDIDATE,113.993156,2.23,66.64,7892.0,q1_q16_tce,0.8475186384048293
K05759.01,,FALSE POSITIVE → CANDIDATE,284.94212784,,,,q1_q16_tce,0.2342192106340807
K05764.01,,FALSE POSITIVE → CANDIDATE,286.02266,2.03,0.25,4368.0,q1_q16_tce,0.3598075011986352
K05385.01,,FALSE POSITIVE → CANDIDATE,331.70918,6815.75,0.56,5282.0,q1_q16_tce,0.07768501629652526
K05389.01,,FALSE POSITIVE → CANDIDATE,365.739893,1.73,0.8,5420.0,q1_q16_tce,0.1102307619835457
K05518.01,,FALSE POSITIVE → CANDIDATE,558.21886,3.1,0.36,5679.0,q1_q17_dr25_tce,0.770838359628191
K05643.01,,FALSE POSITIVE → CANDIDATE,570.01886,1.62,0.31,5496.0,q1_q16_tce,0.5046248822311024
K05644.01,,FALSE POSITIVE → CANDIDATE,378.93139106,,,,q1_q16_tce,0.34018821202291644
K05897.01,,FALSE POSITIVE → CANDIDATE,395.94327,2.53,0.21,4596.0,q1_q16_tce,0.6133439757600658
K05900.01,,FALSE POSITIVE → CANDIDATE,355.84731,1.68,3.71,6823.0,q1_q16_tce,0.26394803273429784
K05903.01,,FALSE POSITIVE → CANDIDATE,253.790434,2.06,0.97,5426.0,q1_q16_tce,0.5522571665630199
K05905.01,,FALSE POSITIVE → CANDIDATE,35.6606167,,,,q1_q16_tce,0.14740972708140046
K05907.01,,FALSE POSITIVE → CANDIDATE,587.38162,36.77,18.29,4784.0,q1_q16_tce,0.13145506803580034
K05910.01,,FALSE POSITIVE → CANDIDATE,91.240335,1.75,14.03,6493.0,q1_q16_tce,0.2812275231337597
K05912.01,,FALSE POSITIVE → CANDIDATE,359.854745,2.25,1.97,6495.0,q1_q16_tce,0.34065608223154187
K05915.01,,FALSE POSITIVE → CANDIDATE,37.6259039,1.81,17.13,5874.0,q1_q17_dr25_tce,0.9223816084624414
K05916.01,,FALSE POSITIVE → CANDIDATE,100.41475198,,,,q1_q16_tce,0.2949386365554508
K05919.01,,FALSE POSITIVE → CANDIDATE,290.196139,2.35,3.2,6238.0,q1_q17_dr25_tce,0.669155421375159
K05921.01,,FALSE POSITIVE → CANDIDATE,175.452812,3.96,28.77,6184.0,q1_q16_tce,0.46092044303441226
K05923.01,,FALSE POSITIVE → CANDIDATE,366.684634,10.75,9.18,5090.0,q1_q16_tce,0.5271973959218708
K05926.01,,FALSE POSITIVE → CANDIDATE,26.46288074,,,,q1_q16_tce,0.29711381873045994
K05930.01,,FALSE POSITIVE → CANDIDATE,302.77571,1.0,0.03,3358.0,q1_q16_tce,0.4985347658757124
K05931.01,,FALSE POSITIVE → CANDIDATE,115.19952922,,,,q1_q16_tce,0.26306950485084185
K05933.01,,FALSE POSITIVE → CANDIDATE,236.506437,10.37,12.54,5066.0,q1_q16_tce,0.48569119629353974
K05937.01,,FALSE POSITIVE → CANDIDATE,357.588538,3.53,7.38,7435.0,q1_q16_tce,0.490158770867123
K05940.01,,FALSE POSITIVE → CANDIDATE,24.7967294,3.14,19.62,5496.0,q1_q17_dr25_tce,0.8737874035411357
K05942.01,,FALSE POSITIVE → CANDIDATE,125.277815,15.75,96.53,5119.0,q1_q16_tce,0.5031375922594388
K05945.01,,FALSE POSITIVE → CANDIDATE,40.7282314,4.58,111.83,6531.0,q1_q16_tce,0.48672652623450574
K05946.01,,FALSE POSITIVE → CANDIDATE,183.38048452,,,,q1_q16_tce,0.2427154107618087
K05951.01,,FALSE POSITIVE → CANDIDATE,194.25835342,,,,q1_q16_tce,0.11146098076402007
K05955.01,,FALSE POSITIVE → CANDIDATE,96.32561456,,,,q1_q16_tce,0.1431961230538555
K05956.01,,FALSE POSITIVE → CANDIDATE,212.646179,3.19,2.5,6108.0,q1_q16_tce,0.1967495487385593
K05961.01,,FALSE POSITIVE → CANDIDATE,19.159760875,25.24,7.65,4492.0,q1_q17_dr25_tce,0.0413910468132032
K05846.01,,FALSE POSITIVE → CANDIDATE,199.064336,6.12,12.81,5157.0,q1_q17_dr25_tce,0.7604339008350589
K05847.01,,FALSE POSITIVE → CANDIDATE,277.114286,17.56,31.66,5117.0,q1_q16_tce,0.21507503306321846
K05848.01,,FALSE POSITIVE → CANDIDATE,323.159363,3.41,2.83,5251.0,q1_q16_tce,0.559974033851959
K05967.01,,FALSE POSITIVE → CANDIDATE,22.8631517,4.84,361.26,5043.0,q1_q16_tce,0.8528972916294674
K05972.01,,FALSE POSITIVE → CANDIDATE,449.87203,2.59,0.37,5310.0,q1_q16_tce,0.32019798710560254
K05973.01,,FALSE POSITIVE → CANDIDATE,419.93373,1.82,1.57,6686.0,q1_q16_tce,0.23317766045455623
K05851.01,,FALSE POSITIVE → CANDIDATE,322.221973,2.18,1.4,6026.0,q1_q16_tce,0.38484324247298296
K05853.01,,FALSE POSITIVE → CANDIDATE,366.68293,3.15,0.58,5217.0,q1_q16_tce,0.3335537341909831
K05857.01,,FALSE POSITIVE → CANDIDATE,388.03884851,,,,q1_q16_tce,0.27545269406699696
K05977.01,,FALSE POSITIVE → CANDIDATE,49.49059818,,,,q1_q16_tce,0.1932544863356721
K05978.01,,FALSE POSITIVE → CANDIDATE,364.18129,1.78,0.45,4988.0,q1_q16_tce,0.3981380822472488
K05859.01,,FALSE POSITIVE → CANDIDATE,172.621943,26.09,92.12,5119.0,q1_q16_tce,0.0570308593048125
K05860.01,,FALSE POSITIVE → CANDIDATE,264.708077,6.17,7.68,5283.0,q1_q16_tce,0.4210651985810064
K05864.01,,FALSE POSITIVE → CANDIDATE,35.9216912,1.38,11.38,5161.0,q1_q16_tce,0.5945521771575948
K05866.01,,FALSE POSITIVE → CANDIDATE,102.300622,35.36,221.33,4895.0,q1_q16_tce,0.6712535314968351
K05867.01,,FALSE POSITIVE → CANDIDATE,359.8455,14.76,16.01,4945.0,q1_q16_tce,0.3972668092710743
K05870.01,,FALSE POSITIVE → CANDIDATE,132.114,0.75,0.52,4342.0,q1_q16_tce,0.24561398098754933
K05872.01,,FALSE POSITIVE → CANDIDATE,46.16051579,,,,q1_q16_tce,0.21532737678735153
K05873.01,,FALSE POSITIVE → CANDIDATE,217.170081,109061.0,97.62,5083.0,q1_q16_tce,0.1537198641581763
K05876.01,,FALSE POSITIVE → CANDIDATE,189.456089,2.2,3.04,5991.0,q1_q16_tce,0.371148485023018
K05878.01,,FALSE POSITIVE → CANDIDATE,211.54114,1.88,0.94,5433.0,q1_q16_tce,0.2663415731005661
K05879.01,,FALSE POSITIVE → CANDIDATE,88.523517,1.6,0.45,3827.0,q1_q16_tce,0.5508932599558886
K05881.01,,FALSE POSITIVE → CANDIDATE,134.35872,1.27,14.61,6948.0,q1_q16_tce,0.605133915530418
K05882.01,,FALSE POSITIVE → CANDIDATE,55.01469183,,,,q1_q16_tce,0.3522290532209633
K05883.01,,FALSE POSITIVE → CANDIDATE,198.781156,1.69,6.33,6493.0,q1_q16_tce,0.6285719751423715
K05886.01,,FALSE POSITIVE → CANDIDATE,284.87177,1.84,6.1,6437.0,q1_q16_tce,0.4280928776571135
K05889.01,,FALSE POSITIVE → CANDIDATE,374.41813,2.42,1.44,6195.0,q1_q17_dr24_tce,0.3785244890091198
K05890.01,,FALSE POSITIVE → CANDIDATE,263.30198,2.19,2.11,5758.0,q1_q16_tce,0.32676774724344027
K05891.01,,FALSE POSITIVE → CANDIDATE,370.31761,2.98,0.26,4665.0,q1_q16_tce,0.2847963963502757
K05893.01,,FALSE POSITIVE → CANDIDATE,405.6296,1.4,0.52,5583.0,q1_q16_tce,0.27436645892357575
K05896.01,,FALSE POSITIVE → CANDIDATE,434.28175,1.94,0.48,5544.0,q1_q16_tce,0.5826485004393019
K06180.02,,FALSE POSITIVE → CANDIDATE,58.92565,1.5,101.17,7282.0,q1_q16_tce,0.6247652361272645
K03410.02,Kepler-1491 c,CANDIDATE → CONFIRMED,61.569765,2.44,18.66,5626.0,q1_q17_dr25_tce,0.9718339219829707
K03440.02,,FALSE POSITIVE → CANDIDATE,58.940569,2.48,11.06,5819.0,q1_q17_dr25_tce,0.8133545964411986
K03444.04,,FALSE POSITIVE → CANDIDATE,14.1502311,0.74,5.44,3705.0,q1_q17_dr25_tce,0.8632478082079876
K03503.02,Kepler-1703 c,CANDIDATE → CONFIRMED,31.8245304,0.8,28.37,6338.0,q1_q17_dr24_tce,0.7121479515108082
K04568.02,,FALSE POSITIVE → CANDIDATE,48.04066636,,,,q1_q16_tce,0.3173691898825229
K06097.01,,FALSE POSITIVE → CANDIDATE,93.05654364,,,,q1_q16_tce,0.26414144486984625
K06097.02,,FALSE POSITIVE → CANDIDATE,88.433122,1.7,29.68,7092.0,q1_q16_tce,0.274691386963262
K06097.03,,FALSE POSITIVE → CANDIDATE,282.34315,2.35,6.31,7092.0,q1_q16_tce,0.12887479159509302
K06188.01,,FALSE POSITIVE → CANDIDATE,1.645319649,2.46,666.35,5416.0,q1_q17_dr25_tce,0.7520766435539016
K04030.02,,FALSE POSITIVE → CANDIDATE,163.51489847,,,,q1_q16_tce,0.11456908445208974
K05987.01,,FALSE POSITIVE → CANDIDATE,5.288547653,55.28,6999.38,4918.0,q1_q17_dr25_tce,0.12928707911408474
K06097.04,,FALSE POSITIVE → CANDIDATE,126.505657,1.51,18.42,7092.0,q1_q16_tce,0.16242251466719712
K06195.01,,FALSE POSITIVE → CANDIDATE,1.444486083,1.73,290.01,4569.0,q1_q17_dr25_tce,0.8648134285371868
K04034.02,,FALSE POSITIVE → CANDIDATE,11.6089351,46.44,1184.51,6303.0,q1_q17_dr25_tce,0.25039086816786466
K06103.01,Kepler-1981 b,FALSE POSITIVE → CONFIRMED,453.54212,9.23,5.45,5874.0,q1_q17_dr25_tce,0.8825871128216836
K06104.01,,CANDIDATE → FALSE POSITIVE,16.2480865,2.38,58.1,5729.0,q1_q17_dr25_tce,0.9456469199752902
K01628.03,,FALSE POSITIVE → CANDIDATE,37.8404232,1.76,32.14,6243.0,q1_q17_dr25_tce,0.9641634988737708
K06118.01,,FALSE POSITIVE → CANDIDATE,571.280892,3.65,2.62,7081.0,q1_q16_tce,0.5914760198847341
K01250.02,,FALSE POSITIVE → CANDIDATE,1.213672208,697.14,2422.45,6113.0,q1_q16_tce,0.6351348480222894
K06214.02,,FALSE POSITIVE → CANDIDATE,154.536881,4.1,20.76,6049.0,q1_q16_tce,0.28905061754968336
K04396.04,,FALSE POSITIVE → CANDIDATE,437.51586139,,,,q1_q16_tce,0.23607409334838622
K04913.02,,FALSE POSITIVE → CANDIDATE,8.97377221,2.96,1294.96,6537.0,q1_q17_dr25_tce,0.8160418296255997
K06016.01,,CANDIDATE → FALSE POSITIVE,4.553370029,25.84,603.58,6306.0,q1_q17_dr25_tce,0.10519689569347401
K06127.01,,FALSE POSITIVE → CANDIDATE,114.27173902,,,,q1_q16_tce,0.20902548057783163
K06216.01,,FALSE POSITIVE → CANDIDATE,26.40805532,,,,q1_q16_tce,0.46065650289736876
K01860.04,,FALSE POSITIVE → CANDIDATE,24.8434837,1.58,35.97,5670.0,q1_q17_dr25_tce,0.9216194491410549
K06230.01,,CANDIDATE → FALSE POSITIVE,1.927177921,28.94,523.16,5193.0,q1_q17_dr25_tce,0.0024843389292505185
K02433.07,,FALSE POSITIVE → CANDIDATE,86.431871,2.85,10.97,6325.0,q1_q17_dr25_tce,0.9222805332186742
K00841.04,,FALSE POSITIVE → CANDIDATE,269.306232,24.0,0.72,5251.0,q1_q17_dr25_tce,0.12270179436402322
K06142.01,,FALSE POSITIVE → CANDIDATE,69.64679311,,,,q1_q16_tce,0.4038019600708102
K06142.02,,FALSE POSITIVE → CANDIDATE,111.65546,2121.0,26.58,6967.0,q1_q16_tce,0.41975130756835227
K06142.03,,FALSE POSITIVE → CANDIDATE,86.13201864,,,,q1_q16_tce,0.18770143130442615
K02012.02,Kepler-1052 c,CANDIDATE → CONFIRMED,180.921729,2.3,1.96,5818.0,q1_q17_dr25_tce,0.9191218212643028
K06237.02,,FALSE POSITIVE → CANDIDATE,47.14404783,,,,q1_q16_tce,0.5924864045620784
K06239.02,,FALSE POSITIVE → CANDIDATE,491.61516814,,,,q1_q16_tce,0.23863353071609417
K00841.05,,FALSE POSITIVE → CANDIDATE,499.47338,3.71,0.31,5251.0,q1_q17_dr25_tce,0.3931507363404252
K06245.01,,FALSE POSITIVE → CANDIDATE,144.102562,1.67,8.64,6528.0,q1_q16_tce,0.4355059245288592
K02086.04,,FALSE POSITIVE → CANDIDATE,335.56311,1.83,2.9,6200.0,q1_q16_tce,0.4746020321210028
K06250.01,,CANDIDATE → FALSE POSITIVE,1.853209359,32.99,4584.55,6384.0,q1_q17_dr25_tce,0.13255642363100847
K02183.03,,FALSE POSITIVE → CANDIDATE,150.381954,2.26,2.63,5569.0,q1_q17_dr25_tce,0.8107835133313226
K00945.03,,FALSE POSITIVE → CANDIDATE,66.789347,2.07,13.61,6297.0,q1_q17_dr25_tce,0.7636704969356408
K06068.01,,FALSE POSITIVE → CANDIDATE,6.150251376,100.03,6066.49,8914.0,q1_q17_dr25_tce,0.06610151215804422
K02281.02,,FALSE POSITIVE → CANDIDATE,455.27405,1.54,0.35,5178.0,q1_q16_tce,0.33573602780178435
K02393.02,Kepler-1834 c,CANDIDATE → CONFIRMED,0.766691517,1.22,1334.22,4821.0,q1_q17_dr25_tce,0.7436702562927937
K06168.01,,FALSE POSITIVE → CANDIDATE,131.258668,1.59,8.31,6443.0,q1_q16_tce,0.431463891128805
K06168.02,,FALSE POSITIVE → CANDIDATE,75.072964,1.09,17.51,6443.0,q1_q16_tce,0.47188436670400075
K00423.02,,FALSE POSITIVE → CANDIDATE,360.477635,11943.8,3.11,6266.0,q1_q16_tce,0.5570814610312167
K02871.03,,FALSE POSITIVE → CANDIDATE,18.0811429,0.75,39.18,5693.0,q1_q17_dr24_tce,0.5359579738931702
K06173.01,,FALSE POSITIVE → CANDIDATE,214.013044,1.54,5.89,6698.0,q1_q16_tce,0.5787599984821132
K06176.02,,FALSE POSITIVE → CANDIDATE,73.4567573,,,,q1_q16_tce,0.46912110369458737
K00129.02,,FALSE POSITIVE → CANDIDATE,143.21109362,,,,q1_q16_tce,0.2530348597544239
K00993.03,,FALSE POSITIVE → CANDIDATE,86.723653,1.43,5.5,5830.0,q1_q17_dr25_tce,0.7132325248888935
K06093.01,,FALSE POSITIVE → CANDIDATE,20.5736113,3.86,484.82,5440.0,q1_q17_dr25_tce,0.9432572263606285
K03184.02,Kepler-1972 c,FALSE POSITIVE → CONFIRMED,11.3220104,0.91,515.77,6003.0,,0.9150397649145657
K03207.01,,FALSE POSITIVE → CANDIDATE,0.954388314,2.27,31694.26,7056.0,q1_q17_dr25_tce,0.20242872639630743
K00351.07,Kepler-90 f,CANDIDATE → CONFIRMED,124.922516,3.37,6.45,5970.0,q1_q17_dr25_tce,0.9385483315692276
K01992.03,Kepler-347 d,FALSE POSITIVE → CONFIRMED,85.517344,3.04,12.75,5592.0,q1_q17_dr25_tce,0.9637353205028061
K03156.01,,CANDIDATE → FALSE POSITIVE,0.761119678,27.81,18660.94,6911.0,q1_q17_dr25_tce,0.43924887521694944
K06619.01,,CANDIDATE → FALSE POSITIVE,1.330333096,24.3,1691.25,5984.0,q1_q17_dr25_tce,0.16159753353745196
K06648.01,,CANDIDATE → FALSE POSITIVE,1.044408447,1.17,13421.48,7274.0,q1_q17_dr24_tce,0.11076541303222628
K07446.01,,CANDIDATE → FALSE POSITIVE,1.057335679,14.59,623.51,4664.0,q1_q17_dr25_tce,0.4498220562675108
K06657.01,,FALSE POSITIVE → CANDIDATE,1.6037058,1.54,9138.09,6400.0,q1_q17_dr25_tce,0.08137835877849865
K06919.01,,FALSE POSITIVE → CANDIDATE,8.7998722,1.09,26.18,4298.0,q1_q17_dr25_tce,0.8505697872094329
K07892.01,Kepler-457 d,CANDIDATE → CONFIRMED,10.692115,2.71,244.47,6474.0,q1_q17_dr25_tce,0.8605580666674322
K06664.01,,FALSE POSITIVE → CANDIDATE,14.7639145,0.93,37.74,5541.0,q1_q17_dr25_tce,0.9321357033383237
K07198.01,,CANDIDATE → FALSE POSITIVE,0.953299962,35.67,3850.25,6183.0,q1_q17_dr25_tce,0.099947082917955
K07331.01,,CANDIDATE → FALSE POSITIVE,0.84986054,67.45,6185.9,5164.0,q1_q17_dr25_tce,0.17953167053462352
K06941.01,,CANDIDATE → FALSE POSITIVE,1.92730001,45.99,1605.97,6057.0,q1_q17_dr25_tce,0.011920583724319906
K07879.01,,FALSE POSITIVE → CANDIDATE,128.208643,6.15,93.05,7128.0,q1_q17_dr25_tce,0.4487257820400487
K06698.01,,FALSE POSITIVE → CANDIDATE,5.22422449,,29.83,,q1_q17_dr25_tce,0.31461935504618166
K01110.02,,FALSE POSITIVE → CANDIDATE,3.71840884,0.84,464.19,5982.0,q1_q17_dr25_tce,0.8316265729390367
K06574.01,,CANDIDATE → FALSE POSITIVE,0.61810542,39.52,3735.52,5371.0,q1_q17_dr24_tce,0.049741101722356094
K06969.01,,CANDIDATE → FALSE POSITIVE,1.790518325,32.19,2761.65,6586.0,q1_q17_dr25_tce,0.05768583560998429
K07368.01,Kepler-1974 b,CANDIDATE → CONFIRMED,6.842939,,99.24,,q1_q17_dr25_tce,0.17431100547555217
K07112.01,,CANDIDATE → FALSE POSITIVE,0.78430061,1.14,1416.91,5176.0,q1_q17_dr25_tce,0.03344905477585662
K07378.01,Kepler-1999 b,CANDIDATE → CONFIRMED,8.7396758,3.29,26.17,4406.0,q1_q17_dr25_tce,0.8389850883184666
K06343.01,,FALSE POSITIVE → CANDIDATE,569.45051,1.96,0.61,6117.0,q1_q17_dr25_tce,0.39606470648610964
K07131.01,,CANDIDATE → FALSE POSITIVE,2.243569483,21.11,817.05,6081.0,q1_q17_dr25_tce,0.11564175230138062
K06346.01,,CANDIDATE → FALSE POSITIVE,2.9590637,0.65,1415.74,6192.0,q1_q17_dr24_tce,0.12614401224595348
K06751.01,,FALSE POSITIVE → CANDIDATE,24.996068,2.4,31.43,5761.0,q1_q17_dr25_tce,0.9106837940641932
K07410.01,,CANDIDATE → FALSE POSITIVE,1.260575815,29.91,935.7,5388.0,q1_q17_dr25_tce,0.13688897634252037
K07411.01,,CANDIDATE → FALSE POSITIVE,1.88912273,0.59,573.44,5413.0,q1_q17_dr25_tce,0.03657619661613425
K06361.01,,CANDIDATE → FALSE POSITIVE,1.529283907,2.26,9998.13,6438.0,q1_q17_dr25_tce,0.2652722864829167
K06464.03,,FALSE POSITIVE → CANDIDATE,541.742985,3.39,0.9,6373.0,q1_q17_dr25_tce,0.8632973251646692
K07599.01,,CANDIDATE → FALSE POSITIVE,293.70696,6140.44,1.34,6054.0,q1_q17_dr24_tce,0.052938822018473726
K07100.01,,CANDIDATE → FALSE POSITIVE,0.824851807,78.0,9801.46,5658.0,q1_q17_dr25_tce,0.042771713475515685
K00365.02,,FALSE POSITIVE → CANDIDATE,117.761,0.62,3.06,5564.0,q1_q16_tce,0.5710357063375368
K07005.01,,CANDIDATE → FALSE POSITIVE,6.2089181,9.2,853.5,5548.0,q1_q17_dr24_tce,0.8613262392084529
K07332.01,,CANDIDATE → FALSE POSITIVE,0.933728196,0.85,3826.49,6170.0,q1_q17_dr25_tce,0.29992358067824676
K07264.01,,FALSE POSITIVE → CANDIDATE,19.1644498,1.83,225.26,5877.0,q1_q17_dr25_tce,0.9403309473695769
K05834.01,,FALSE POSITIVE → CANDIDATE,37.537859,1.77,27.38,6095.0,q1_q17_dr25_tce,0.8822831903621144
K07093.01,,FALSE POSITIVE → CANDIDATE,97.991569,1.41,11.21,6499.0,q1_q17_dr25_tce,0.7521836476700429
K06715.01,,CANDIDATE → FALSE POSITIVE,0.687772143,46.27,4569.67,5885.0,q1_q17_dr25_tce,0.02030035357118605
K07415.01,,FALSE POSITIVE → CANDIDATE,1.291964282,10.97,572.64,4995.0,q1_q17_dr25_tce,0.8987241105013872
K07484.01,,FALSE POSITIVE → CANDIDATE,37.0200232,2.14,15.66,5685.0,q1_q17_dr25_tce,0.48383594568066035
K04380.01,,CANDIDATE → FALSE POSITIVE,5.78159956,1.7,1117.19,6443.0,q1_q17_dr25_tce,0.421141785501973
K05502.01,,FALSE POSITIVE → CANDIDATE,421.98194,2.02,2.96,6760.0,q1_q16_tce,0.18082058128169684
K04668.01,,CANDIDATE → FALSE POSITIVE,15.07277287,1.73,38.57,5521.0,q1_q17_dr25_tce,0.9360203431909153
K05388.01,,FALSE POSITIVE → CANDIDATE,137.396194,3.38,16.87,5425.0,q1_q17_dr25_tce,0.6712949359953663
K05520.01,,CANDIDATE → FALSE POSITIVE,199.4424134,56.11,3.32,5869.0,q1_q16_tce,0.0578688203469537
K06949.01,,FALSE POSITIVE → CANDIDATE,2.352446342,1.24,5269.29,6749.0,q1_q17_dr25_tce,0.46509899254451165
K05150.01,,CANDIDATE → FALSE POSITIVE,26.524553,2.19,55.06,4995.0,q1_q17_dr25_tce,0.9169878286335551
K05898.01,,FALSE POSITIVE → CANDIDATE,76.37924,1.73,6.41,5451.0,q1_q16_tce,0.28600397909298014
K06630.01,,CANDIDATE → FALSE POSITIVE,34.6506368,12.35,476.15,6681.0,q1_q17_dr25_tce,0.6973075541210649
K05875.02,,FALSE POSITIVE → CANDIDATE,4.2742605,1.88,730.69,6477.0,q1_q17_dr25_tce,0.828899962736911
K07594.01,,CANDIDATE → FALSE POSITIVE,2.08802799,1.93,3806.17,6593.0,q1_q17_dr24_tce,0.16411874590918696
K07913.01,Kepler-1975 b,FALSE POSITIVE → CONFIRMED,24.2783801,2.03,8.27,4450.0,q1_q17_dr25_tce,0.897062961963151
K03554.01,,CANDIDATE → FALSE POSITIVE,394.67816267,52.16,0.72,5780.0,q1_q17_dr25_tce,0.0017003612129559162
K05979.01,,FALSE POSITIVE → CANDIDATE,37.7935113,0.89,29.06,6178.0,q1_q16_tce,0.5542516154147292
K07045.01,,CANDIDATE → FALSE POSITIVE,0.76757669,34.23,1294.42,5182.0,q1_q17_dr25_tce,0.002057386058885901
K05934.01,,FALSE POSITIVE → CANDIDATE,19.3854894,6.13,37.73,5432.0,q1_q17_dr24_tce,0.3710734992181366
K05323.01,,CANDIDATE → FALSE POSITIVE,7.155547398,48.93,4166.27,4992.0,q1_q17_dr25_tce,0.11398205161939849
K05871.01,,FALSE POSITIVE → CANDIDATE,623.2344,2.04,0.35,5600.0,q1_q16_tce,0.6903737364693873
K06085.01,,FALSE POSITIVE → CANDIDATE,5.902596818,25.8,376.53,6184.0,q1_q17_dr25_tce,0.11660271506377191
K05219.01,,FALSE POSITIVE → CANDIDATE,27.765596,1.2,31.66,5897.0,q1_q17_dr25_tce,0.32418638913135456
K01608.03,Kepler-311 d,CANDIDATE → CONFIRMED,232.040326,2.05,2.71,5903.0,q1_q17_dr25_tce,0.7090789653393399
