kepoi_name,kepler_name,change,koi_period,koi_prad,koi_insol,koi_steff,koi_tce_delivname,p_planet_2020
K03572.01,,CANDIDATE → FALSE POSITIVE,2.086076372,1543.74,1728.2,6124.0,q1_q17_dr25_tce,0.013594817333480787
K03347.01,Kepler-1917 b,CANDIDATE → CONFIRMED,12.90235874,1.49,48.99,5530.0,q1_q17_dr25_tce,0.9078643492366845
K03421.01,,FALSE POSITIVE → CANDIDATE,40.6511021,1.7,42.54,6297.0,q1_q17_dr25_tce,0.9022075854976132
K03422.01,,FALSE POSITIVE → CANDIDATE,40.1454757,13.01,1708.38,7852.0,q1_q17_dr25_tce,0.30805593751526633
K07733.01,,FALSE POSITIVE → CANDIDATE,1.048130894,4.52,52952.95,7673.0,q1_q17_dr25_tce,0.3329183171584805
K03493.01,Kepler-1925 b,CANDIDATE → CONFIRMED,46.7162336,2.03,18.74,5856.0,q1_q17_dr25_tce,0.9595507245107182
K03423.01,Kepler-1920 b,CANDIDATE → CONFIRMED,30.2541186,2.8,44.87,6277.0,q1_q17_dr25_tce,0.9582620933573008
K03425.01,Kepler-1921 b,CANDIDATE → CONFIRMED,20.034708,2.24,207.16,6120.0,q1_q17_dr25_tce,0.9852689086657312
K03425.02,Kepler-1921 c,CANDIDATE → CONFIRMED,3.15722086,1.41,2436.47,6120.0,q1_q17_dr25_tce,0.9155478232435025
K03426.01,,FALSE POSITIVE → CANDIDATE,58.7701045,1.57,15.78,6158.0,q1_q17_dr25_tce,0.9034943379042395
K03500.01,Kepler-1927 b,CANDIDATE → CONFIRMED,73.7502765,3.78,49.76,6056.0,q1_q17_dr25_tce,0.9466272063087666
K03361.01,Kepler-1696 b,CANDIDATE → CONFIRMED,65.9407869,2.33,10.04,5982.0,q1_q17_dr25_tce,0.9555980584521604
K03431.01,,FALSE POSITIVE → CANDIDATE,19.6001405,2.08,49.23,6003.0,q1_q17_dr25_tce,0.8765975474607417
K03749.01,,FALSE POSITIVE → CANDIDATE,10.72725536,12.85,2.1,3324.0,q1_q17_dr25_tce,0.3444899483888203
K03680.01,Kepler-1657 b,CANDIDATE → CONFIRMED,141.2415405,11.49,3.62,5705.0,q1_q17_dr25_tce,0.978741390485924
K02055.03,Kepler-1073 d,CANDIDATE → CONFIRMED,2.50475282,1.48,828.59,5509.0,q1_q17_dr25_tce,0.9368213255948423
K03908.01,Kepler-1929 b,CANDIDATE → CONFIRMED,59.3627946,2.23,24.33,5786.0,q1_q17_dr25_tce,0.9757648677437714
