run_date,fold,model,feature_set,f1_macro,balanced_accuracy,accuracy,f1_CANDIDATE,f1_CONFIRMED,f1_FALSE POSITIVE,log_loss
2026-08-24,0,hgb_nested_cv,physics_only,0.7129117682440823,0.7239582929735598,0.7469942498693152,0.5292792792792793,0.779559118236473,0.8298969072164949,0.5886284318177516
2026-08-24,1,hgb_nested_cv,physics_only,0.7299798745743914,0.7384566599252952,0.7621536853110298,0.5591160220994476,0.7864476386036962,0.8443759630200308,0.5747425403150156
2026-08-24,2,hgb_nested_cv,physics_only,0.7238073896302101,0.734758540276078,0.7506534239414532,0.5556756756756757,0.7926455566905005,0.8231009365244537,0.5799859117060879
2026-08-24,3,hgb_nested_cv,physics_only,0.7256671412038643,0.7366600283396215,0.7590172503920544,0.55,0.7887887887887888,0.8382126348228043,0.5726310214402333
2026-08-24,4,hgb_nested_cv,physics_only,0.7200610513589333,0.7310793155272192,0.752092050209205,0.5667396061269147,0.7542972699696663,0.8391462779802187,0.5760450677945284
2026-08-24,0,hgb_nested_cv,with_flags,0.8609435777456028,0.8629848414303578,0.894929430214323,0.7818181818181819,0.8210526315789474,0.9799599198396793,0.25682594651711554
2026-08-24,1,hgb_nested_cv,with_flags,0.861136156982266,0.8620827076588345,0.894929430214323,0.7905935050391937,0.8133047210300429,0.9795102448775612,0.25879741603293954
2026-08-24,2,hgb_nested_cv,with_flags,0.8724117008849105,0.8734096294560322,0.9032932566649242,0.8035714285714286,0.8331539289558665,0.9805097451274363,0.25379561352157
2026-08-24,3,hgb_nested_cv,with_flags,0.8540498800766746,0.8549611959610005,0.891270256142185,0.7681498829039812,0.8124352331606217,0.9815645241654211,0.2613842420398582
2026-08-24,4,hgb_nested_cv,with_flags,0.8625296413744373,0.8636771017942063,0.8980125523012552,0.7880870561282932,0.8134878819810326,0.986013986013986,0.25999390460663996
