kepoi_name,kepid,kepler_name,koi_pdisposition,koi_score,ra,dec,koi_disposition,koi_disposition_2020,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_prad_err1,koi_prad_err2,koi_insol_err1,koi_insol_err2,seff_recent_venus,seff_runaway_greenhouse,seff_maximum_greenhouse,seff_early_mars,teff_in_range,hz_conservative,hz_optimistic,hz_conservative_possible,rocky,super_earth,sunlike_host,grazing,p_candidate,p_confirmed,p_false_positive,p_planet_like,model_verdict,p_planet_like_2020model
K07732.01,5529552,,FALSE POSITIVE,0.0,290.48871,40.725182,FALSE POSITIVE,FALSE POSITIVE,0.759768478,0.583,2.824,57.4,0.64,1737.0,2149.06,12.9,5481.0,4.574,0.815,15.318,0.14,-0.05,1418.9,-528.76,1.7147294300120133,1.0687923825164671,0.3377815424726204,0.3036237154685328,True,False,False,False,True,True,False,False,0.13442,0.05152,0.81406,0.18594,FALSE POSITIVE,0.03627
K03490.01,8882847,,FALSE POSITIVE,0.0,290.80344,45.169785,FALSE POSITIVE,FALSE POSITIVE,42.2011587,1.225,8.479,178.1,37.39,671.0,47.85,15.9,6200.0,4.135,1.449,13.294,10.76,-10.76,42.07,-27.14,1.86909699061488,1.16505551004624,0.38196344607079996,0.3433380647793441,True,False,False,False,False,False,True,True,0.31361,0.02124,0.66515,0.33485,FALSE POSITIVE,0.30307
K03568.01,9773869,,FALSE POSITIVE,0.0,293.23383,46.598251,FALSE POSITIVE,FALSE POSITIVE,15.65129028,0.507,6.7631,398641.0,78.3,792.0,93.1,359.7,6137.0,4.418,1.103,16.666,26.62,-8.87,95.75,-31.25,1.8548271272494197,1.1561567203626386,0.3780923160524485,0.33985837271454516,True,False,False,False,False,False,True,False,0.0114,0.00213,0.98648,0.01352,FALSE POSITIVE,0.00891
K03569.01,6707942,,FALSE POSITIVE,0.0,296.05759,42.110931,FALSE POSITIVE,FALSE POSITIVE,9.014220178,0.802,2.76441,34085.6,15.49,661.0,45.03,1109.2,4842.0,4.573,0.73,13.57,1.31,-1.46,16.06,-13.17,1.6065250936679916,1.0013216387553434,0.3018177093286887,0.27129576168714925,True,False,False,False,False,False,False,False,0.21165,0.05765,0.7307,0.2693,FALSE POSITIVE,0.11508
K03570.01,5023948,,FALSE POSITIVE,0.0,295.24097,40.1576,FALSE POSITIVE,FALSE POSITIVE,1.824653341,0.845,4.25512,176739.0,55.44,1680.0,1880.22,1833.7,6413.0,4.372,0.941,15.048,11.73,-9.6,1228.72,-757.4,1.9174825904885493,1.1952292518899177,0.394842163997217,0.3549145587120593,True,False,False,False,False,False,True,False,0.00542,0.00209,0.99249,0.00751,FALSE POSITIVE,0.01072
K03571.01,5113053,,FALSE POSITIVE,0.0,295.39136,40.21677,FALSE POSITIVE,FALSE POSITIVE,3.185090259,0.465,4.80188,423276.0,92.5,1564.0,1414.18,1909.2,6516.0,4.249,1.279,15.519,25.1,-18.22,1136.19,-622.94,1.9407114652888597,1.2097150726407127,0.40089976500011004,0.36035967799203594,True,False,False,False,False,False,False,False,0.00562,0.00789,0.98649,0.01351,FALSE POSITIVE,0.00214
K07742.01,5817957,,FALSE POSITIVE,0.0,298.55057,41.040771,FALSE POSITIVE,FALSE POSITIVE,372.76888,0.909,23.27,1157.2,3.66,242.0,0.81,22.8,5800.0,4.514,0.894,15.422,1.01,-0.37,0.67,-0.23,1.7802820249444802,1.10967025322704,0.35723485352680007,0.321109987327824,True,True,True,True,False,False,True,False,0.25449,0.03701,0.70849,0.29151,FALSE POSITIVE,0.27539
K01833.03,11853878,Kepler-968 c,CANDIDATE,0.999,285.60254,50.112041,CONFIRMED,CONFIRMED,5.70940795,0.751,1.622,586.7,1.51,644.0,40.66,20.2,4402.0,4.682,0.572,14.265,0.13,-0.13,12.62,-10.9,1.5534448314850628,0.9682292729386405,0.2805457991457542,0.25217347744963003,True,False,False,False,True,True,False,False,0.06823,0.88245,0.04932,0.95068,CONFIRMED,0.98248
K03572.01,4743508,,FALSE POSITIVE,0.692,290.81393,39.819061,FALSE POSITIVE,CANDIDATE,2.086076372,13.376,2.4032,58858.0,1543.74,1645.0,1728.2,159.3,6124.0,4.265,1.119,14.554,401.5,-401.4,1392.12,-909.68,1.851890257303769,1.1543252696095496,0.3772911847739085,0.33913825003138626,True,False,False,False,False,False,True,True,0.03237,0.00208,0.96555,0.03445,FALSE POSITIVE,0.01359
K03344.02,11810124,Kepler-1471 b,CANDIDATE,0.972,289.66489,50.020039,CONFIRMED,CONFIRMED,3.63898953,0.32,2.252,209.6,1.68,1238.0,555.71,16.0,5533.0,4.275,1.166,15.254,0.25,-0.3,223.28,-203.21,1.7249753526826033,1.0751815499332895,0.3409073395874738,0.30643345353755364,True,False,False,False,False,True,True,False,0.03801,0.90245,0.05954,0.94046,CONFIRMED,0.9755
